InpStartHour,InpEndHour,InpEndMinute,InpFvgMaxAgeBars,InpRiskPercent,total_trades,win_rate,profit_factor,max_drawdown,max_consecutive_losses,sharpe_ratio
6.0,14.0,41.0,1.0,0.6344,0,0.0,0.0,1.0,0,0.0
9.0,7.0,18.0,3.0,0.4128,0,0.0,0.0,1.0,0,0.0
13.0,11.0,30.0,2.0,0.2947,0,0.0,0.0,1.0,0,0.0
6.0,10.0,23.0,4.0,0.5025,27,0.1481,0.34,0.0823,12,-5.0
5.0,13.0,20.0,3.0,0.6215,41,0.2439,0.64,0.0902,9,-5.0
11.0,8.0,43.0,2.0,0.3314,0,0.0,0.0,1.0,0,0.0
10.0,16.0,29.0,3.0,0.4612,25,0.36,1.05,0.0209,4,0.43
8.0,5.0,36.0,1.0,0.7417,0,0.0,0.0,1.0,0,0.0
7.0,13.0,44.0,2.0,0.3439,30,0.2667,0.71,0.0376,9,-3.67
10.0,8.0,21.0,4.0,0.5772,0,0.0,0.0,1.0,0,0.0
11.0,16.0,35.0,2.0,0.6914,20,0.35,1.05,0.0407,5,0.41
5.0,5.0,28.0,3.0,0.4796,2,0.5,1.99,0.0048,1,0.23
6.0,13.0,15.0,3.0,0.3963,40,0.35,1.06,0.0353,9,0.78
13.0,8.0,38.0,1.0,0.6825,0,0.0,0.0,1.0,0,0.0
9.0,11.0,26.0,3.0,0.5487,10,0.2,0.48,0.0275,5,-0.79
6.0,10.0,33.0,2.0,0.2801,25,0.44,1.57,0.0196,5,10.05
7.0,15.0,24.0,1.0,0.6049,0,0.0,0.0,1.0,0,0.0
10.0,6.0,31.0,3.0,0.3167,0,0.0,0.0,1.0,0,0.0
12.0,12.0,17.0,2.0,0.4525,1,0.0,0.0,0.0046,1,-0.44
5.0,9.0,40.0,3.0,0.7192,37,0.4324,1.51,0.0424,6,6.97
4.0,12.0,37.0,4.0,0.6549,34,0.3824,1.22,0.0582,8,3.15
11.0,9.0,30.0,2.0,0.4236,0,0.0,0.0,1.0,0,0.0
